id,space_id
26,127
27,133
28,132
29,139
30,142
31,142
33,147
32,147
34,153
35,158
36,158
37,167
38,169
39,169
40,169
41,169
42,169
43,176
44,176
45,180
46,184
47,187
48,194
49,198
50,202
65,227
66,229
51,206
52,212
53,212
55,215
54,215
56,218
57,218
58,218
59,218
60,218
61,224
62,224
63,225
64,226
67,230
68,231
69,232
70,236
1320,4301
73,314
74,316
75,316
76,318
77,318
78,320
79,320
80,320
81,320
82,320
83,322
84,324
85,326
86,329
87,329
88,329
89,333
91,329
92,329
1321,4303
94,335
96,339
97,340
98,343
99,347
100,352
101,360
102,363
103,425
104,427
105,426
106,429
107,430
108,430
110,431
109,431
111,432
112,433
113,433
114,435
115,436
116,436
117,436
118,436
119,436
120,437
121,437
122,439
123,440
124,441
125,443
126,444
127,446
164,533
128,447
129,449
130,449
132,452
131,452
133,453
134,453
135,453
136,453
137,453
138,456
139,456
140,458
141,459
142,461
143,464
144,465
145,466
146,467
147,472
150,522
151,524
152,524
153,525
154,525
155,526
156,526
157,526
158,526
159,526
160,529
161,530
162,532
163,533
165,533
166,533
167,533
168,535
169,536
170,538
171,541
172,543
173,544
174,557
178,561
179,562
180,754
181,757
182,756
183,759
184,760
185,760
187,762
186,762
188,764
189,765
190,765
191,768
192,770
193,770
194,770
195,770
196,770
197,771
198,771
199,773
200,775
201,776
202,779
203,780
204,781
269,1164
270,1164
205,783
206,785
207,785
209,787
208,787
210,789
211,789
212,789
213,789
214,789
215,791
216,791
217,793
218,794
219,795
220,797
221,800
222,801
223,802
224,806
227,836
228,841
229,841
230,844
231,844
232,847
233,847
234,847
235,847
236,847
237,852
238,855
239,862
240,865
241,865
242,865
243,865
244,865
245,869
246,872
247,878
248,881
249,886
250,889
251,895
255,899
256,900
257,1143
258,1145
259,1144
260,1148
261,1150
262,1150
264,1152
263,1152
265,1154
266,1157
267,1157
268,1161
271,1164
272,1164
273,1164
274,1167
275,1167
276,1169
277,1171
278,1173
279,1177
280,1179
281,1181
288,1189
282,1183
283,1186
284,1186
286,1188
285,1188
287,1189
289,1189
290,1189
291,1189
292,1191
293,1191
294,1192
295,1193
296,1194
297,1196
298,1197
299,1198
300,1199
301,1203
304,1295
305,1297
306,1297
307,1298
308,1298
309,1299
310,1299
311,1299
312,1299
313,1299
314,1301
315,1302
316,1304
317,1305
318,1305
319,1305
320,1305
321,1305
322,1306
323,1307
324,1309
325,1310
326,1312
327,1313
328,1444
329,1446
330,1446
331,1447
332,1447
333,1448
334,1448
335,1448
336,1448
337,1448
338,1450
339,1451
340,1453
341,1454
342,1454
343,1454
344,1454
345,1454
346,1455
347,1456
348,1458
349,1459
350,1461
351,1462
352,1464
353,1466
354,1465
355,1468
356,1469
357,1469
359,1470
358,1470
360,1471
361,1472
362,1472
363,1474
364,1475
365,1475
366,1475
367,1475
368,1475
369,1476
370,1476
371,1477
372,1478
373,1479
374,1481
375,1482
376,1483
381,1488
377,1484
378,1486
379,1486
380,1488
382,1489
383,1489
384,1489
385,1489
386,1489
387,1491
388,1491
389,1492
390,1493
391,1494
392,1496
393,1497
394,1498
395,1499
396,1500
397,1503
400,1507
401,1509
402,1508
403,1511
404,1512
405,1512
407,1513
406,1513
408,1514
409,1515
410,1515
411,1517
412,1518
413,1518
414,1518
415,1518
416,1518
417,1519
418,1519
419,1520
420,1521
421,1522
422,1524
423,1525
424,1526
486,1640
425,1527
426,1529
427,1529
429,1531
428,1531
430,1532
431,1532
432,1532
433,1532
434,1532
435,1534
436,1534
437,1535
438,1536
439,1537
440,1539
441,1540
442,1541
443,1542
444,1543
445,1546
448,1552
449,1553
453,1556
454,1557
455,1578
456,1579
460,1582
461,1583
462,1604
463,1605
467,1608
468,1609
469,1628
470,1630
471,1629
472,1632
473,1633
474,1633
476,1634
475,1634
477,1635
478,1636
479,1636
480,1638
481,1639
482,1639
483,1639
484,1639
485,1639
487,1640
488,1641
489,1642
490,1643
491,1645
492,1646
493,1647
501,1653
494,1648
495,1650
496,1650
498,1652
497,1652
499,1653
500,1653
502,1653
503,1653
504,1655
505,1655
506,1656
507,1657
508,1658
509,1660
510,1661
511,1662
512,1663
513,1664
514,1667
517,1672
518,1674
519,1673
520,1676
521,1677
522,1677
524,1678
523,1678
525,1679
526,1680
527,1680
528,1682
529,1683
530,1683
531,1683
532,1683
533,1683
534,1684
535,1684
536,1685
537,1686
538,1687
539,1689
540,1690
541,1691
604,1745
590,1735
542,1692
543,1694
544,1694
546,1696
545,1696
547,1697
548,1697
549,1697
550,1697
551,1697
552,1699
553,1699
554,1700
555,1701
556,1702
557,1704
558,1705
559,1706
560,1707
561,1708
562,1711
565,1715
566,1717
567,1716
568,1719
569,1720
570,1720
572,1721
571,1721
573,1722
574,1723
575,1723
576,1725
577,1726
578,1726
579,1726
580,1726
581,1726
582,1727
583,1727
584,1728
585,1729
586,1730
587,1732
588,1733
589,1734
605,1747
591,1737
592,1737
594,1739
593,1739
595,1740
596,1740
597,1740
598,1740
599,1740
600,1742
601,1742
602,1743
603,1744
606,1748
607,1749
608,1750
609,1751
610,1754
613,1758
614,1760
615,1759
616,1762
617,1763
618,1763
620,1764
619,1764
621,1765
622,1766
623,1766
624,1768
625,1769
626,1769
627,1769
628,1769
629,1769
630,1770
631,1770
632,1771
633,1772
634,1773
635,1775
636,1776
637,1777
692,1826
638,1778
639,1780
640,1780
642,1782
641,1782
643,1783
644,1783
645,1783
646,1783
647,1783
648,1785
649,1785
650,1786
651,1787
652,1788
653,1790
654,1791
655,1792
656,1793
657,1794
658,1797
661,1801
662,1803
663,1802
664,1805
665,1806
666,1806
668,1807
667,1807
669,1808
670,1809
671,1809
672,1811
673,1812
674,1812
675,1812
676,1812
677,1812
678,1813
679,1813
680,1814
681,1815
682,1816
683,1818
684,1819
685,1820
693,1826
686,1821
687,1823
688,1823
690,1825
689,1825
691,1826
694,1826
695,1826
696,1828
697,1828
698,1829
699,1830
700,1831
701,1833
702,1834
703,1835
704,1836
705,1837
706,1840
709,1850
710,1852
711,1851
712,1854
713,1855
714,1855
716,1856
715,1856
717,1857
718,1858
719,1858
720,1859
721,1859
722,1860
723,1861
724,1861
725,1861
726,1861
727,1861
728,1862
729,1862
730,1863
731,1864
732,1865
733,1867
734,1868
735,1869
795,2015
796,2015
736,1870
737,1872
738,1872
740,1874
739,1874
741,1875
742,1875
743,1875
744,1875
745,1875
746,1877
747,1877
748,1878
749,1879
750,1880
751,1882
752,1883
753,1884
754,1885
755,1886
756,1889
1322,4302
759,1921
760,1922
761,1923
762,1951
763,1952
764,1953
765,1984
766,1985
767,1986
768,1992
769,1994
770,1994
771,1995
772,1995
773,1996
774,1996
775,1996
776,1996
777,1996
778,1998
779,1999
780,2001
781,2002
782,2002
783,2002
784,2002
785,2002
786,2003
787,2004
788,2006
789,2007
790,2009
791,2010
792,2012
793,2014
794,2014
797,2016
798,2016
799,2016
800,2016
801,2016
802,2018
803,2019
804,2021
805,2022
806,2022
807,2022
808,2022
809,2022
810,2023
811,2024
812,2026
813,2027
814,2029
815,2030
816,2032
817,2034
818,2034
819,2035
820,2035
821,2036
822,2036
823,2036
824,2036
825,2036
826,2038
827,2039
828,2041
829,2042
830,2042
831,2042
832,2042
833,2042
834,2043
835,2044
836,2046
837,2047
838,2049
839,2050
840,2079
841,2080
842,2081
843,2126
844,2127
845,2128
846,2156
847,2157
848,2158
849,2186
850,2187
851,2188
852,2190
853,2195
