user_id,widget_id
168,249
192,266
200,279
205,283
253,303
375,346
383,356
395,368
424,383
426,386
429,387
431,387
524,417
530,426
532,432
534,434
544,441
623,495
629,505
634,512
664,531
665,532
666,533
668,533
937,595
946,604
950,610
952,612
965,619
1021,665
1035,681
1049,690
1083,709
1084,710
1085,711
1086,711
1444,775
1455,787
1461,795
1463,798
1480,810
1639,864
1644,874
1648,881
1821,946
1826,956
1830,963
1844,975
1849,984
1851,990
1852,992
1861,999
1887,1030
1892,1039
1894,1045
1895,1047
1904,1054
1935,1092
1936,1093
1937,1094
1938,1094
1964,1121
1965,1122
1966,1123
1967,1123
1994,1150
1995,1151
1996,1152
1997,1152
2018,1172
2023,1181
2025,1187
2026,1189
2035,1196
2062,1227
2067,1236
2069,1242
2070,1244
2079,1251
2105,1282
2110,1291
2112,1297
2113,1299
2122,1306
2148,1337
2153,1346
2155,1352
2156,1354
2165,1361
2194,1392
2199,1401
2201,1407
2202,1409
2211,1416
2270,1447
2275,1456
2277,1462
2278,1464
2287,1471
2430,1576
2435,1586
2439,1593
2452,1602
2457,1612
2461,1619
2476,1628
2481,1638
2485,1645
2678,1758
2705,1768
2718,1775
2836,1796
2843,1805
2846,1811
2849,1813
2866,1820
3103,1881
3108,1891
3114,1898
3148,1918
3151,1919
3152,1921
3153,1921
3429,1974
3434,1983
3436,1989
3437,1991
3446,1998
3470,2026
3475,2036
3481,2043
3554,2071
3557,2073
3559,2075
3561,2075
3977,2152
3984,2161
3987,2167
3989,2169
4002,2176
4037,2204
4044,2214
4049,2221
4140,2259
4142,2261
4144,2263
4145,2263
4477,2330
4483,2339
4485,2345
4487,2347
5453,2691
5460,2700
4498,2354
4636,2441
4647,2454
4660,2469
4661,2470
4662,2471
5463,2706
5465,2708
4664,2473
4665,2473
5008,2508
5014,2517
5019,2523
5020,2525
5477,2715
5739,2807
5033,2532
5145,2606
5152,2616
5157,2623
5747,2819
5176,2642
5177,2643
5753,2826
5178,2644
5179,2644
6053,2936
6058,2945
6062,2951
6065,2953
6086,2960
6100,2970
6111,2988
6122,3000
