id,owner_id,name,type,created_at
5460,6268,Test Space,business,Mon Apr 27 2026 08:59:17 GMT+0300 (Moscow Standard Time)
5553,6367,Personal Space,personal,Mon Apr 27 2026 08:59:21 GMT+0300 (Moscow Standard Time)
5636,6461,Personal Space,personal,Mon Apr 27 2026 08:59:30 GMT+0300 (Moscow Standard Time)
5728,6573,Personal Space,personal,Mon Apr 27 2026 08:59:34 GMT+0300 (Moscow Standard Time)
5816,6659,Test Space,business,Mon Apr 27 2026 08:59:37 GMT+0300 (Moscow Standard Time)
5461,6269,Test Space,business,Mon Apr 27 2026 08:59:17 GMT+0300 (Moscow Standard Time)
5554,6369,Test Space,business,Mon Apr 27 2026 08:59:22 GMT+0300 (Moscow Standard Time)
6606,7584,Test Space,business,Mon Apr 27 2026 11:53:35 GMT+0300 (Moscow Standard Time)
6699,7681,Test Space,business,Mon Apr 27 2026 11:53:39 GMT+0300 (Moscow Standard Time)
5817,6660,Test Space,business,Mon Apr 27 2026 08:59:38 GMT+0300 (Moscow Standard Time)
5841,6708,Test Space,business,Mon Apr 27 2026 08:59:51 GMT+0300 (Moscow Standard Time)
5933,6805,Personal Space,personal,Mon Apr 27 2026 09:00:18 GMT+0300 (Moscow Standard Time)
6016,6895,Test Space,business,Mon Apr 27 2026 09:00:29 GMT+0300 (Moscow Standard Time)
6106,7001,Test Space,business,Mon Apr 27 2026 09:00:32 GMT+0300 (Moscow Standard Time)
6190,7095,Test Space,business,Mon Apr 27 2026 09:00:38 GMT+0300 (Moscow Standard Time)
6315,7242,Test Space,business,Mon Apr 27 2026 09:01:26 GMT+0300 (Moscow Standard Time)
6397,7332,Personal Space,personal,Mon Apr 27 2026 09:01:36 GMT+0300 (Moscow Standard Time)
6488,7430,Test Space,business,Mon Apr 27 2026 09:01:40 GMT+0300 (Moscow Standard Time)
6576,7525,Test Space,business,Mon Apr 27 2026 09:01:43 GMT+0300 (Moscow Standard Time)
6782,7771,Test Space,business,Mon Apr 27 2026 11:53:47 GMT+0300 (Moscow Standard Time)
5462,6271,Test Space,business,Mon Apr 27 2026 08:59:17 GMT+0300 (Moscow Standard Time)
5555,6370,Dashboard Space,business,Mon Apr 27 2026 08:59:22 GMT+0300 (Moscow Standard Time)
